date,model,launched,destroyed,refugees,aircraft,helicopter,tank,APC,field_artillery,MRL,drone,naval_ship,anti_aircraft_warfare,special_equipment,vehicles_and_fuel_tanks,cruise_missiles,submarines,personnel
2022-09-28,X-59,5,4,7533851,262,224,2312,4889,1381,331,989,15,175,131,3742,242,,58150
2022-09-28,Reconnaissance UAV,3,3,7533851,262,224,2312,4889,1381,331,989,15,175,131,3742,242,,58150
2022-09-29,Shahed-136/131,7,5,,262,224,2325,4909,1385,331,995,15,175,131,3751,246,,58580
2022-09-30,Orlan-10,3,3,7538397,264,225,2338,4932,1391,333,1003,15,176,131,3768,246,,59080
2022-10-01,Orlan-10,1,1,,264,226,2354,4949,1397,336,1009,15,176,131,3786,246,,59610
2022-10-02,Shahed-136/131,7,5,7540367,264,227,2377,4975,1405,337,1015,15,176,131,3796,246,,60110
2022-10-04,Shahed-136/131,1,1,7647426,266,228,2424,5018,1407,340,1028,15,177,131,3823,246,,60800
2022-10-05,Shahed-136/131,6,6,,266,232,2435,5038,1414,341,1032,15,177,132,3841,246,,61000
2022-10-05,Orlan-10,1,1,,266,232,2435,5038,1414,341,1032,15,177,132,3841,246,,61000
2022-10-06,Shahed-136/131,9,9,,266,232,2449,5064,1424,344,1047,15,177,134,3854,246,,61330
2022-10-06,Mohajer-6,1,1,,266,232,2449,5064,1424,344,1047,15,177,134,3854,246,,61330
2022-10-06,Shahed-136/131,2,2,,266,232,2449,5064,1424,344,1047,15,177,134,3854,246,,61330
2022-10-06,Shahed-136/131,3,3,,266,232,2449,5064,1424,344,1047,15,177,134,3854,246,,61330
2022-10-06,Orlan-10,1,1,,266,232,2449,5064,1424,344,1047,15,177,134,3854,246,,61330
2022-10-06,Mohajer-6,1,1,,266,232,2449,5064,1424,344,1047,15,177,134,3854,246,,61330
2022-10-07,Shahed-136/131,3,3,7647769,266,233,2466,5093,1455,344,1067,15,177,135,3862,246,,61680
2022-10-08,Shahed-136/131,1,1,7652542,266,234,2472,5111,1459,345,1079,15,180,136,3875,246,,62060
2022-10-08,Unknown UAV,2,2,7652542,266,234,2472,5111,1459,345,1079,15,180,136,3875,246,,62060
2022-10-09,X-22,4,0,7653676,266,235,2486,5133,1477,348,1086,15,180,136,3890,247,,62500
2022-10-09,X-59,2,1,7653676,266,235,2486,5133,1477,348,1086,15,180,136,3890,247,,62500
2022-10-09,C-300,16,0,7653676,266,235,2486,5133,1477,348,1086,15,180,136,3890,247,,62500
2022-10-10,X-101 and Kalibr,42,20,7676357,267,235,2495,5149,1486,353,1097,15,181,136,3908,249,,62870
2022-10-10,X-101 and Kalibr,42,20,7676357,267,235,2495,5149,1486,353,1097,15,181,136,3908,249,,62870
2022-10-10,X-555 and Kalibr,42,21,7676357,267,235,2495,5149,1486,353,1097,15,181,136,3908,249,,62870
2022-10-10,Unknown UAV,11,3,7676357,267,235,2495,5149,1486,353,1097,15,181,136,3908,249,,62870
2022-10-10,Shahed-136/131,13,10,7676357,267,235,2495,5149,1486,353,1097,15,181,136,3908,249,,62870
2022-10-10,Shahed-136/131,13,13,7676357,267,235,2495,5149,1486,353,1097,15,181,136,3908,249,,62870
2022-10-11,Shahed-136/131,8,8,7678757,268,235,2504,5162,1496,353,1114,15,181,136,3916,295,,63110
