date,day,aircraft,helicopter,tank,APC,field_artillery,MRL,drone,naval_ship,anti_aircraft_warfare,special_equipment,vehicles_and_fuel_tanks,cruise_missiles,submarines
2022-02-25,2,10,7,80,516,49,4,0,2,0,,,,
2022-02-26,3,27,26,146,706,49,4,2,2,0,,,,
2022-02-27,4,27,26,150,706,50,4,2,2,0,,,,
2022-02-28,5,29,29,150,816,74,21,3,2,5,,,,
2022-03-01,6,29,29,198,846,77,24,3,2,7,,,,
2022-03-02,7,30,31,211,862,85,40,3,2,9,,,,
2022-03-03,8,30,31,217,900,90,42,3,2,11,,,,
2022-03-04,9,33,37,251,939,105,50,3,2,18,,,,
2022-03-05,10,39,40,269,945,105,50,3,2,19,,,,
2022-03-06,11,44,48,285,985,109,50,4,2,21,,,,
2022-03-07,12,46,68,290,999,117,50,7,3,23,,,,
2022-03-08,13,48,80,303,1036,120,56,7,3,27,,,,
2022-03-09,14,49,81,317,1070,120,56,7,3,28,,,,
2022-03-10,15,49,81,335,1105,123,56,7,3,29,,,,
2022-03-11,16,57,83,353,1165,125,58,7,3,31,,,,
2022-03-12,17,58,83,362,1205,135,62,7,3,33,,,,
2022-03-13,18,74,86,374,1226,140,62,7,3,34,,,,
2022-03-14,19,77,90,389,1249,150,64,8,3,34,,,,
2022-03-15,20,81,95,404,1279,150,64,9,3,36,,,,
2022-03-16,21,84,108,430,1375,190,70,11,3,43,10,,,
2022-03-17,22,86,108,444,1435,201,72,11,3,43,10,,,
2022-03-18,23,93,112,450,1448,205,72,12,3,43,11,,,
2022-03-19,24,95,115,466,1470,213,72,17,3,44,11,,,
2022-03-20,25,96,118,476,1487,230,74,21,3,44,12,,,
2022-03-21,26,97,121,498,1535,240,80,24,3,45,13,,,
2022-03-22,27,99,123,509,1556,252,80,35,3,45,15,,,
2022-03-23,28,101,124,517,1578,267,80,42,4,47,15,,,
2022-03-24,29,108,124,530,1597,280,82,50,4,47,16,,,
2022-03-25,30,115,125,561,1625,291,90,53,5,49,18,,,
2022-03-26,31,117,127,575,1640,293,91,56,7,51,19,,,
2022-03-27,32,121,127,582,1664,294,93,56,7,52,21,,,
2022-03-28,33,123,127,586,1694,302,95,66,7,54,21,,,
2022-03-29,34,127,129,597,1710,303,96,71,7,54,21,,,
2022-03-30,35,131,131,605,1723,305,96,81,7,54,21,,,
2022-03-31,36,135,131,614,1735,311,96,83,7,54,22,,,
2022-04-01,37,143,131,625,1751,316,96,85,7,54,24,,,
2022-04-02,38,143,134,631,1776,317,100,87,7,54,24,,,
2022-04-03,39,143,134,644,1830,325,105,89,7,54,24,,,
2022-04-04,40,147,134,647,1844,330,107,91,7,54,25,,,
2022-04-05,41,150,134,676,1858,332,107,94,7,55,25,,,
2022-04-06,42,150,135,684,1861,332,107,96,7,55,25,,,
2022-04-07,43,150,135,698,1891,332,108,111,7,55,25,,,
2022-04-08,44,150,135,700,1891,333,108,112,7,55,25,,,
2022-04-09,45,151,136,705,1895,335,108,112,7,55,25,,,
2022-04-10,46,152,137,722,1911,342,108,112,7,55,25,,,
2022-04-11,47,154,137,725,1923,347,111,119,7,55,25,,,
